CATEGORY,ITEM_ID,ITEM_NAME,SALE_PRICE,REDUCED_PRICE,BENEFIT_PRICE,DISCOUNT_RATE,IS_FOOD,ITEM_FEATURE1,ITEM_FEATURE2,MEANING_SCORE,PRICE_DT,KURLY_HCT,KURLY_MCT
간장,23722001124,샘표 양조간장 (501) 500ML,"6,560","6,560",0, - , 식품 ,,,,2022-07-01,면_양념_오일,양념_액젓_장류
간장,33058287007,시골간장 양조간장 국간장 1700ml 햇살담은 간장 더,"36,100","36,100",0, - , 식품 ,,,,2022-07-01,면_양념_오일,양념_액젓_장류
즉석식품,33173270810,선봉 영양 갈비탕 700g 즉석조리 포장 국,"11,020","11,020",0, - , 식품 ,,,,2022-07-01,샐러드_간편식,떡볶이_튀김_순대
국수,5715129674,오뚜기 옛날국수 소면,"2,290","2,290",0, - , 식품 ,,,,2022-07-01,샐러드_간편식,파스타_면류
기능성음료,83755019013,[남성스테미너]코데코뉴트리션 맥스바이탈 60캡슐 천연 자양강장제,"42,630","42,630",0, - , 식품 ,,컬리스,,2022-07-01,생수_음료_우유_커피,음료_주스
즉석식품,22193957995,B/맛있는 오뚜기밥 200g 4개입 -6개/즉석밥,"31,500","31,500",0, - , 식품 ,,,,2022-07-01,샐러드_간편식,떡볶이_튀김_순대
즉석식품,33176972710,오뚜기 맛있는 김치볶음밥 200GX6개입 2봉,"25,100","25,100",0, - , 식품 ,,,,2022-07-01,샐러드_간편식,떡볶이_튀김_순대
된장,32510449541,UNKNOWN 해찬들 재래식 된장 14kg,"29,900","29,900",0, - , 식품 ,,,,2022-07-01,면_양념_오일,양념_액젓_장류
라면,82594674266,농심 신라면 120g,520,520,0, - , 식품 ,,,,2022-07-01,샐러드_간편식,파스타_면류
딸기,32722249856,[하프클럽/프레시데이]유산균 그래놀라 풀믹스 딸기 쉐이크 7입×40g (1주분),"24,610","24,610",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,국산과일
카레,33185805543,[3분 쇠고기카레 200g 12개+12개],"41,200","41,200",0, - , 식품 ,,,,2022-07-01,샐러드_간편식,죽_스프_카레
식초,82769226914,데니그리스 유기농 사과식초 드니그리스 애플사이다비니거 천연발효식초 브래그 애사비,"6,380","6,380",0, - , 식품 , 친환경 ,,319.0,2022-07-01,면_양념_오일,식초_소스_드레싱
생선통조림,32800968257,동원참치 라이트스탠다드 150g x 40캔,"96,600","96,600",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,수산가공품
고춧가루,30333371784,100% 청양초 고추 진미 청양초 고춧가루 200g 4개,"93,900","93,900",0, - , 식품 ,,,,2022-07-01,면_양념_오일,소금_설탕_향신료
밀가루,32295370329,큐원 중력밀가루 20kg,"30,790","30,790",0, - , 식품 ,,컬리온리,,2022-07-01,면_양념_오일,밀가루_가루_믹스
치즈,32865501594,매일 상하치즈 피자용 모짜렐라 슈레드치즈 200g x 10봉 - UnKnown 매일유업,"37,680","37,680",0, - , 식품 ,,,,2022-07-01,베이커리_치즈_델리,치즈
간장,29781750906,샘표 샘표 진간장 금F3 2.8L,"12,480","12,480",0, - , 식품 ,,,,2022-07-01,면_양념_오일,양념_액젓_장류
치즈,33212011008,서울우유 에멘탈치즈 180g,"14,310","14,310",0, - , 식품 ,,KF365,,2022-07-01,베이커리_치즈_델리,치즈
낙지,32145674452,참바다 [참바다]손질낙지 200g(5미) x 5팩 + 볶음소스 50g 3팩,"21,760","21,760",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,오징어_낙지_문어
생선통조림,84196184020,[동원] 살코기 동원참치 라이트 스탠다드 150g X 40캔,"81,100","81,100",0, - , 식품 ,,컬리스,,2022-07-01,수산_해산_건어물,수산가공품
키위,32289321962,꼬레촌수입과일 수입산 키위 100g/100과내외 10kg,"57,840","57,840",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,수입과일
